Absurd = ridiculous, senseless, foolish
Manly = masculine, virile, strong
Masculine = male, manly, virile
Meek = shy, mild, timid
Melodramatic = theatrical, sensational, showy
Mischievous = naughty, prankish, sly
Miserable = wretched, pitiful, forlorn
Misunderstood = not grasped, not learned, not absorbed
Mysterious = secretive, puzzling, strange
Mystical = spiritual, secretive, esoteric
Naive = unsophisticated, childlike, simple
Nasty = mean, inclement, offensive
Natural = pure, simple, unadorned
Neat = tidy, orderly, cool
Neglected = ignored, disregarded, rejected
Nerdy = unhip, uncool, dorky
Normal = usual, common, ordinary
Obnoxious = offensive, repulsive, annoying
Odd = different, eccentric, bizarre
Offensive = insulting, vulgar, attacking
Ordinary = usual, common, plain
Organic = natural, clean, biological
Outrageous = shocking, scandalous, disgraceful
Overwhelming = exhaustive, breathtaking, monumental
Painful = hurtful, agonizing, unbearable
Pathetic = pitiful, distressing, heart-rending
Patriotic = nationalistic, loyal, public-spirited
Peaceful = serene, restful, calm
Perfect = faultless, consummate, exact
Philosophical = thoughtful, contemplative, wise
Phony = false, artificial, imitation
Playful = fun, frisky, entertaining
Popular = well-liked, accepted, preferred
Powerful = strong, forceful, robust
Primitive = prehistoric, primal, uncivilized
Principled = conscientious, ethical, scrupulous
Profound = deep, wise, thoughtful
Puffy = swollen, billowy, bloated
Pure = innocent, unadulterated, chaste
Quiet = peaceful, silent, calm
Radiant = shining, glowing, sparkling
Radical = unconventional, revolutionary, extreme
Rare = scarce, unusual, half-cooked
Realistic = authentic, lifelike, reasonable
Refined = well-bred, purified, cultivated
Refreshing = brisk, invigorating, rejuvenating
Relaxing = restful, calming, peaceful
Repulsive = disgusting, offensive, foul
Responsible = accountable, obligated, mature
Revolutionary = innovative, rebellious, radical
Rich = wealthy, affluent, moneyed
Ridiculous = preposterous, absurd, ludicrous
Risky = hazardous, daring, speculative
Rough = scratchy, uneven, jagged
Saintly = virtuous, angelic, divine
Sappy = gooey, mushy, romantic
Scary = frightening, absurd, ugly
Scenic = picturesque, dramatic, panoramic
Selfish = stingy, greedy, miserly
Senseless = meaningless, absurd, foolish
Sensitive = susceptible, sympathetic, tender
Sensual = tactile, pleasing, sexual
Sexy = arousing, appealing, seductive
Shallow = superficial, trivial, not deep
Sharp = pointed, keen, acute
Shiny = reflective, gleaming, polished
Shocking = frightening, electrifying, startling
Shy = bashful, timid, cautious
Silly = goofy, absurd, nonsensical
Smart = intelligent, stylish, witty
Smelly = stinky, odorous, rank
Smooth = even, level, flat
Snappy = stylish, trendy, fast
Soft = malleable, pliable, mushy
Speedy = quick, rapid, fast
Spicy = flavorable, tangy, hot
Spiritual = religious, inspired, supernatural
Spooky = scary, weird, ghostly
Spunky = perky, lively, spirited
Squeaky Clean = pure, immaculate, unapproachable
Stereotyped = pigeonholed, caricatured, characterized
Stunning = astonishing, staggering, astounding
Sultry = sweltering, humid, sensual
Sweet = sugary, caring, good
Swift = quick, speedy, expeditious
Talented = gifted, clever, skillful
Tame = subdued, gentle, trained
Technological = scientific, futuristic, mechanical
Temperamental = moody, irritable, short-tempered
Timeless = classic, ageless, well-established
Touchy-Feely = affectionate, tactile, huggy
Tough = strong, firm, difficult
Trustworthy = honest, reliable, unfailing
Twisted = distorted, warped, perverted
Unbelievable = incredible, far-fetched, impossible
Unforgettable = notable, impressive, remarkable
Unhealthy = risky, sickly, dangerous
Unnatural = abnormal, artificial, bizarre
Unreal = imaginary, illusionary, unbelievable
Unscrupulous = unethical, corrupt, unprincipled
Unusual = rare, odd, uncommon
Useless = worthless, ineffective, unneeded
Violent = furious, vicious, destructive
Virtuous = worthy, righteous, chaste
Visionary = idealistic, prophetic, far-seeing
Weird = abnormal, peculiar, odd
Wicked = evil, corrupt, depraved
Wild = untamed, savage, ferocious
Witty = clever, humorous, cunning
Woebegone = dismal, sorrowful, bummed out
Worldly = experienced, sophisticated, materialistic
Zany = crazy, funny, wacky
